review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20260102-685032,CUST-10262,REST-AUH-002,Absolutely amazing Samosa (2 pcs)  Gulab Jamun (2 pcs)  Chicken Seekh Kebab  Mango Lassi  and Butter Chicken! The Mango Lassi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-07T10:39:56.717674
REV-000002,ORD-20260102-568044,CUST-10137,REST-AUH-001,Exceptional quality! Ordered Malai Kofta  Jeera Rice  Lamb Rogan Josh  Mango Lassi  and Samosa (2 pcs) and everything was delicious. The Mango Lassi melted in my mouth. Perfect!,5,2026-01-09T21:50:16.717674
REV-000003,ORD-20260105-259105,CUST-10394,REST-DXB-001,Absolutely amazing Chicken Biryani! The Chicken Biryani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-01-12T12:04:18.717674
REV-000005,ORD-20260112-375274,CUST-10137,REST-SHJ-001,Hands down the best Tandoori Roti I've ever had! Tandoori Roti were all prepared beautifully. Fresh and flavorful!,5,2026-01-13T10:43:45.717674
REV-000004,ORD-20260108-659194,CUST-10034,REST-SHJ-001,Pleasant meal! Gulab Jamun (2 pcs)  Fresh Lime Soda  and Chicken Tikka Masala arrived warm. Gulab Jamun (2 pcs) was tasty though not exceptional. Would order again.,4,2026-01-14T18:04:23.717674
REV-000006,ORD-20260112-646950,CUST-10189,REST-DXB-002,Very satisfied! Palak Paneer were fresh and flavorful. Palak Paneer was the standout dish.,4,2026-01-18T17:58:17.717674
REV-000007,ORD-20260116-248507,CUST-10027,REST-DXB-002,Expected better. Masala Chai and Chicken Tikka Masala were subpar. Chicken Tikka Masala was too oily and greasy. Stomach upset followed.,2,2026-01-19T17:03:08.717674
REV-000008,ORD-20260120-581026,CUST-10292,REST-AUH-001,Not bad  not great. Samosa (2 pcs)  Chicken Seekh Kebab  Sweet Lassi  and Chicken Biryani were edible. Samosa (2 pcs) needed more seasoning.,3,2026-01-21T19:27:27.717674
REV-000009,ORD-20260125-820255,CUST-10040,REST-DXB-001,Exceptional quality! Ordered Samosa (2 pcs)  Paneer Butter Masala  and Gulab Jamun (2 pcs) and everything was delicious. The Gulab Jamun (2 pcs) melted in my mouth. Perfect!,5,2026-01-31T18:34:53.717674
REV-000014,ORD-20260201-613406,CUST-10340,REST-AUH-002,Outstanding experience! The Butter Naan  Chicken Biryani  and Malai Kofta exceeded all expectations. Butter Naan was the star of the meal. Will definitely order again!,5,2026-02-02T15:06:58.717674
REV-000013,ORD-20260131-608766,CUST-10483,REST-SHJ-001,Solid experience. Vegetable Biryani  Chicken 65  Rasmalai (2 pcs)  Butter Naan  and Chole Bhature were well-prepared. Butter Naan had great flavor. Minor issues with packaging.,4,2026-02-02T17:41:24.717674
REV-000010,ORD-20260129-597549,CUST-10275,REST-AUH-001,Perfect in every way! Gulab Jamun (2 pcs)  Chicken Biryani  Garlic Naan  Palak Paneer  and Dal Makhani were all excellent. Garlic Naan stood out with its rich  authentic taste.,5,2026-02-02T21:06:40.717674
REV-000011,ORD-20260130-799589,CUST-10176,REST-AUH-002,Absolutely amazing Chicken Biryani  Sweet Lassi  and Masala Chai! The Chicken Biryani was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2026-02-03T11:20:09.717674
REV-000017,ORD-20260204-603623,CUST-10336,REST-SHJ-001,Perfect in every way! Masala Chai  Garlic Naan  Dal Makhani  and Naan were all excellent. Masala Chai stood out with its rich  authentic taste.,5,2026-02-05T10:34:56.717674
REV-000012,ORD-20260130-295862,CUST-10078,REST-DXB-002,Hands down the best Fresh Lime Soda I've ever had! Lamb Rogan Josh  Sweet Lassi  and Fresh Lime Soda were all prepared beautifully. Fresh and flavorful!,5,2026-02-06T21:36:54.717674
REV-000016,ORD-20260203-382757,CUST-10021,REST-DXB-002,Average experience. Naan were fine but Naan was a bit bland. Room for improvement.,3,2026-02-06T22:27:34.717674
REV-000015,ORD-20260203-996167,CUST-10345,REST-AUH-001,Shocking! Aloo Tikki Chaat  Dal Makhani  Kulfi  and Jeera Rice bore no resemblance to the menu description. Dal Makhani was inedible. Refund demanded!,1,2026-02-08T20:26:20.717674
REV-000018,ORD-20260204-666194,CUST-10483,REST-DXB-001,Hands down the best Kulfi I've ever had! Palak Paneer  Aloo Tikki Chaat  Kulfi  and Dal Makhani were all prepared beautifully. Fresh and flavorful!,5,2026-02-10T12:49:10.717674
REV-000019,ORD-20260206-400097,CUST-10117,REST-AUH-002,Not bad  not great. Butter Chicken  Mango Lassi  Masala Chai  and Chole Bhature were edible. Chole Bhature needed more seasoning.,3,2026-02-11T21:37:11.717674
REV-000021,ORD-20260214-563138,CUST-10274,REST-SHJ-001,Solid experience. Vegetable Biryani  Gajar Halwa  and Masala Chai were well-prepared. Masala Chai had great flavor. Minor issues with packaging.,4,2026-02-15T11:57:32.717674
REV-000022,ORD-20260214-480668,CUST-10409,REST-AUH-001,Best Indian food in UAE! Naan  Fresh Lime Soda  Kulfi  and Sweet Lassi were incredible. Naan had the perfect balance of spices. Five stars!,5,2026-02-16T13:59:25.717674
REV-000020,ORD-20260211-151891,CUST-10142,REST-SHJ-001,Really good Palak Paneer! The Palak Paneer was delicious. Slight delay in delivery but food quality made up for it.,4,2026-02-18T10:32:01.717674
REV-000024,ORD-20260215-126794,CUST-10380,REST-DXB-002,Very satisfied! Butter Chicken  Paneer Butter Masala  and Tandoori Roti were fresh and flavorful. Tandoori Roti was the standout dish.,4,2026-02-20T13:17:39.717674
REV-000023,ORD-20260214-326885,CUST-10104,REST-AUH-001,Pleasant meal! Tandoori Roti  Fresh Lime Soda  Vegetable Biryani  Samosa (2 pcs)  and Palak Paneer arrived warm. Vegetable Biryani was tasty though not exceptional. Would order again.,4,2026-02-20T21:16:39.717674
REV-000026,ORD-20260217-922017,CUST-10336,REST-AUH-001,It was okay. Gajar Halwa  Chicken 65  and Sweet Lassi arrived lukewarm. Chicken 65 tasted fine but could be better.,3,2026-02-20T22:00:03.717674
REV-000025,ORD-20260215-378065,CUST-10082,REST-DXB-001,Incredible meal! Fish Curry  Mango Lassi  and Chicken 65 arrived hot and fresh. The Mango Lassi was absolutely divine. Highly satisfied!,5,2026-02-21T14:12:37.717674
