restaurant_id,item_id,name,category,price,ingredients,is_vegetarian,spice_level
REST-AUH-001,ITEM-101,Samosa (2 pcs),Starter,17.95,"Potato, Peas, Spices, Pastry",True,Medium
REST-AUH-001,ITEM-102,Paneer Tikka,Starter,34.08,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-AUH-001,ITEM-103,Chicken 65,Starter,37.44,"Chicken, Curry Leaves, Spices",False,Hot
REST-AUH-001,ITEM-104,Aloo Tikki Chaat,Starter,22.26,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-001,ITEM-105,Chicken Seekh Kebab,Starter,40.23,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-001,ITEM-201,Paneer Butter Masala,Main Course,43.47,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-001,ITEM-202,Dal Makhani,Main Course,37.28,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-001,ITEM-203,Palak Paneer,Main Course,40.06,"Spinach, Paneer, Spices",True,Medium
REST-AUH-001,ITEM-204,Malai Kofta,Main Course,43.96,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-001,ITEM-205,Chole Bhature,Main Course,41.9,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-001,ITEM-301,Butter Chicken,Main Course,54.54,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-001,ITEM-302,Chicken Tikka Masala,Main Course,49.21,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-001,ITEM-303,Lamb Rogan Josh,Main Course,64.52,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-001,ITEM-304,Fish Curry,Main Course,55.26,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-001,ITEM-305,Chicken Biryani,Main Course,46.07,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-001,ITEM-401,Naan,Bread,8.17,"Flour, Yogurt, Yeast",True,None
REST-AUH-001,ITEM-402,Garlic Naan,Bread,9.71,"Flour, Garlic, Butter",True,None
REST-AUH-001,ITEM-403,Butter Naan,Bread,8.72,"Flour, Butter, Milk",True,None
REST-AUH-001,ITEM-404,Tandoori Roti,Bread,5.8,Whole Wheat Flour,True,None
REST-AUH-001,ITEM-405,Jeera Rice,Rice,18.54,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-001,ITEM-406,Vegetable Biryani,Rice,40.48,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-001,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.33,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-001,ITEM-502,Rasmalai (2 pcs),Dessert,17.68,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-001,ITEM-503,Kulfi,Dessert,20.06,"Milk, Cardamom, Pistachios",True,None
REST-AUH-001,ITEM-504,Gajar Halwa,Dessert,21.99,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-001,ITEM-601,Masala Chai,Beverage,11.58,"Tea, Milk, Spices",True,None
REST-AUH-001,ITEM-602,Mango Lassi,Beverage,17.64,"Mango, Yogurt, Sugar",True,None
REST-AUH-001,ITEM-603,Sweet Lassi,Beverage,14.4,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-001,ITEM-604,Fresh Lime Soda,Beverage,11.73,"Lime, Soda, Salt/Sugar",True,None
REST-AUH-002,ITEM-101,Samosa (2 pcs),Starter,18.85,"Potato, Peas, Spices, Pastry",True,Medium
REST-AUH-002,ITEM-102,Paneer Tikka,Starter,33.76,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-AUH-002,ITEM-103,Chicken 65,Starter,39.73,"Chicken, Curry Leaves, Spices",False,Hot
REST-AUH-002,ITEM-104,Aloo Tikki Chaat,Starter,22.27,"Potato, Chickpeas, Yogurt, Tamarind",True,Mild
REST-AUH-002,ITEM-105,Chicken Seekh Kebab,Starter,40.85,"Minced Chicken, Spices, Onion",False,Medium
REST-AUH-002,ITEM-201,Paneer Butter Masala,Main Course,44.11,"Paneer, Tomato, Cream, Butter",True,Mild
REST-AUH-002,ITEM-202,Dal Makhani,Main Course,38.2,"Black Lentils, Kidney Beans, Cream",True,Mild
REST-AUH-002,ITEM-203,Palak Paneer,Main Course,43.52,"Spinach, Paneer, Spices",True,Medium
REST-AUH-002,ITEM-204,Malai Kofta,Main Course,43.68,"Cottage Cheese, Potato, Cashew Gravy",True,Mild
REST-AUH-002,ITEM-205,Chole Bhature,Main Course,40.68,"Chickpeas, Fried Bread, Spices",True,Medium
REST-AUH-002,ITEM-301,Butter Chicken,Main Course,53.28,"Chicken, Tomato, Butter, Cream",False,Mild
REST-AUH-002,ITEM-302,Chicken Tikka Masala,Main Course,50.36,"Chicken Tikka, Tomato Gravy, Cream",False,Medium
REST-AUH-002,ITEM-303,Lamb Rogan Josh,Main Course,65.9,"Lamb, Yogurt, Kashmiri Spices",False,Medium
REST-AUH-002,ITEM-304,Fish Curry,Main Course,55.85,"Fish, Coconut, Curry Leaves",False,Hot
REST-AUH-002,ITEM-305,Chicken Biryani,Main Course,46.64,"Basmati Rice, Chicken, Saffron, Spices",False,Medium
REST-AUH-002,ITEM-401,Naan,Bread,7.91,"Flour, Yogurt, Yeast",True,None
REST-AUH-002,ITEM-402,Garlic Naan,Bread,10.09,"Flour, Garlic, Butter",True,None
REST-AUH-002,ITEM-403,Butter Naan,Bread,8.65,"Flour, Butter, Milk",True,None
REST-AUH-002,ITEM-404,Tandoori Roti,Bread,6.11,Whole Wheat Flour,True,None
REST-AUH-002,ITEM-405,Jeera Rice,Rice,18.65,"Basmati Rice, Cumin Seeds",True,None
REST-AUH-002,ITEM-406,Vegetable Biryani,Rice,41.31,"Basmati Rice, Mixed Vegetables, Saffron",True,Medium
REST-AUH-002,ITEM-501,Gulab Jamun (2 pcs),Dessert,14.95,"Milk Solids, Sugar Syrup, Cardamom",True,None
REST-AUH-002,ITEM-502,Rasmalai (2 pcs),Dessert,17.46,"Cottage Cheese, Milk, Saffron",True,None
REST-AUH-002,ITEM-503,Kulfi,Dessert,20.83,"Milk, Cardamom, Pistachios",True,None
REST-AUH-002,ITEM-504,Gajar Halwa,Dessert,22.56,"Carrot, Milk, Ghee, Sugar",True,None
REST-AUH-002,ITEM-601,Masala Chai,Beverage,11.52,"Tea, Milk, Spices",True,None
REST-AUH-002,ITEM-602,Mango Lassi,Beverage,18.42,"Mango, Yogurt, Sugar",True,None
REST-AUH-002,ITEM-603,Sweet Lassi,Beverage,14.99,"Yogurt, Sugar, Cardamom",True,None
REST-AUH-002,ITEM-604,Fresh Lime Soda,Beverage,12.29,"Lime, Soda, Salt/Sugar",True,None
REST-DXB-001,ITEM-101,Samosa (2 pcs),Starter,17.91,"Potato, Peas, Spices, Pastry",True,Medium
REST-DXB-001,ITEM-102,Paneer Tikka,Starter,33.9,"Paneer, Yogurt, Spices, Bell Pepper",True,Medium
REST-DXB-001,ITEM-103,Chicken 65,Starter,37.56,"Chicken, Curry Leaves, Spices",False,Hot
